date,pm10,pm2_5,carbon_monoxide,sulphur_dioxide,ozone,us_aqi,carbon_dioxide,nitrogen_dioxide,city,country,lat,lon
2025-11-07 00:00:00+00:00,12.3,11.8,252.0,15.1,57.0,103.125,466.0,29.5,Los Angeles,US,34.0522,-118.2437
2025-11-07 01:00:00+00:00,13.5,12.6,307.0,13.5,43.0,102.239586,472.0,38.9,Los Angeles,US,34.0522,-118.2437
2025-11-07 02:00:00+00:00,14.4,13.8,388.0,11.4,24.0,101.40624,482.0,51.9,Los Angeles,US,34.0522,-118.2437
2025-11-07 03:00:00+00:00,17.5,17.0,450.0,10.1,9.0,100.47915,490.0,62.0,Los Angeles,US,34.0522,-118.2437
2025-11-07 04:00:00+00:00,19.7,19.1,479.0,10.4,3.0,99.83156,497.0,66.1,Los Angeles,US,34.0522,-118.2437
2025-11-07 05:00:00+00:00,22.9,22.2,489.0,11.5,1.0,99.30851,503.0,67.2,Los Angeles,US,34.0522,-118.2437
2025-11-07 06:00:00+00:00,31.7,30.9,484.0,12.4,0.0,98.687935,506.0,67.7,Los Angeles,US,34.0522,-118.2437
2025-11-07 07:00:00+00:00,36.1,35.4,461.0,13.0,0.0,98.20035,505.0,68.8,Los Angeles,US,34.0522,-118.2437
2025-11-07 08:00:00+00:00,35.6,34.8,422.0,13.4,0.0,97.51773,502.0,69.2,Los Angeles,US,34.0522,-118.2437
2025-11-07 09:00:00+00:00,32.6,32.2,382.0,13.4,0.0,96.374115,498.0,68.0,Los Angeles,US,34.0522,-118.2437
2025-11-07 10:00:00+00:00,29.9,29.6,329.0,12.5,2.0,94.76951,493.0,64.0,Los Angeles,US,34.0522,-118.2437
2025-11-07 11:00:00+00:00,27.6,27.2,274.0,11.0,4.0,92.73049,488.0,58.4,Los Angeles,US,34.0522,-118.2437
2025-11-07 12:00:00+00:00,24.9,24.3,261.0,11.0,7.0,90.42553,488.0,50.3,Los Angeles,US,34.0522,-118.2437
2025-11-07 13:00:00+00:00,23.5,22.9,333.0,10.7,5.0,87.987595,497.0,48.3,Los Angeles,US,34.0522,-118.2437
2025-11-07 14:00:00+00:00,24.1,23.6,448.0,10.4,3.0,85.57625,511.0,45.4,Los Angeles,US,34.0522,-118.2437
2025-11-07 15:00:00+00:00,26.3,25.8,524.0,10.3,4.0,83.02304,519.0,42.6,Los Angeles,US,34.0522,-118.2437
2025-11-07 16:00:00+00:00,28.2,27.7,523.0,10.7,11.0,79.96454,516.0,40.0,Los Angeles,US,34.0522,-118.2437
2025-11-07 17:00:00+00:00,25.5,24.2,483.0,11.3,21.0,76.8883,507.0,37.4,Los Angeles,US,34.0522,-118.2437
2025-11-07 18:00:00+00:00,22.8,20.7,434.0,11.8,31.0,75.31029,498.0,35.0,Los Angeles,US,34.0522,-118.2437
2025-11-07 19:00:00+00:00,20.9,18.6,374.0,12.3,41.0,74.16667,488.0,32.5,Los Angeles,US,34.0522,-118.2437
2025-11-07 20:00:00+00:00,19.4,17.2,306.0,12.7,52.0,73.32446,477.0,30.0,Los Angeles,US,34.0522,-118.2437
2025-11-07 21:00:00+00:00,17.8,15.8,265.0,12.4,58.0,72.76596,470.0,28.5,Los Angeles,US,34.0522,-118.2437
2025-11-07 22:00:00+00:00,16.1,14.4,259.0,11.0,59.0,72.358154,469.0,27.0,Los Angeles,US,34.0522,-118.2437
2025-11-07 23:00:00+00:00,14.5,13.1,282.0,8.9,56.0,72.07447,471.0,26.3,Los Angeles,US,34.0522,-118.2437
2025-11-08 00:00:00+00:00,17.7,16.2,349.0,13.7,43.0,71.8883,480.0,40.4,Los Angeles,US,34.0522,-118.2437
2025-11-08 01:00:00+00:00,19.5,18.2,504.0,12.8,30.0,72.278366,500.0,50.5,Los Angeles,US,34.0522,-118.2437
2025-11-08 02:00:00+00:00,21.5,20.3,703.0,11.6,13.0,72.774826,526.0,64.3,Los Angeles,US,34.0522,-118.2437
2025-11-08 03:00:00+00:00,23.9,22.5,833.0,11.1,0.0,73.35106,544.0,74.1,Los Angeles,US,34.0522,-118.2437
2025-11-08 04:00:00+00:00,29.3,27.9,835.0,12.1,0.0,73.83865,547.0,76.0,Los Angeles,US,34.0522,-118.2437
2025-11-08 05:00:00+00:00,38.3,37.0,767.0,13.9,0.0,74.618805,541.0,74.0,Los Angeles,US,34.0522,-118.2437
2025-11-08 06:00:00+00:00,42.6,41.4,689.0,15.1,0.0,75.930855,535.0,71.8,Los Angeles,US,34.0522,-118.2437
2025-11-08 07:00:00+00:00,41.3,40.3,614.0,15.3,0.0,76.8617,529.0,71.4,Los Angeles,US,34.0522,-118.2437
2025-11-08 08:00:00+00:00,38.0,37.0,528.0,14.9,0.0,77.296104,522.0,70.9,Los Angeles,US,34.0522,-118.2437
2025-11-08 09:00:00+00:00,32.0,31.2,449.0,14.1,1.0,77.49114,516.0,68.8,Los Angeles,US,34.0522,-118.2437
2025-11-08 10:00:00+00:00,27.1,26.3,367.0,12.7,3.0,77.40248,511.0,63.5,Los Angeles,US,34.0522,-118.2437
2025-11-08 11:00:00+00:00,23.5,22.6,293.0,11.0,5.0,77.10993,506.0,56.6,Los Angeles,US,34.0522,-118.2437
2025-11-08 12:00:00+00:00,20.4,19.2,275.0,10.0,5.0,76.70212,507.0,52.3,Los Angeles,US,34.0522,-118.2437
2025-11-08 13:00:00+00:00,18.4,17.2,366.0,9.7,4.0,76.24999,519.0,50.1,Los Angeles,US,34.0522,-118.2437
2025-11-08 14:00:00+00:00,18.3,17.3,514.0,9.4,2.0,75.744675,535.0,47.1,Los Angeles,US,34.0522,-118.2437
2025-11-08 15:00:00+00:00,20.7,19.9,606.0,9.5,4.0,75.18617,543.0,45.0,Los Angeles,US,34.0522,-118.2437
2025-11-08 16:00:00+00:00,22.9,22.2,587.0,10.4,10.0,74.663124,534.0,44.7,Los Angeles,US,34.0522,-118.2437
2025-11-08 17:00:00+00:00,24.3,23.5,514.0,11.7,19.0,74.17554,516.0,45.4,Los Angeles,US,34.0522,-118.2437
2025-11-08 18:00:00+00:00,21.8,20.4,440.0,13.0,29.0,74.11348,500.0,45.8,Los Angeles,US,34.0522,-118.2437
2025-11-08 19:00:00+00:00,19.1,17.9,372.0,14.3,41.0,74.08688,488.0,45.2,Los Angeles,US,34.0522,-118.2437
2025-11-08 20:00:00+00:00,19.0,17.9,303.0,15.7,54.0,74.02483,477.0,44.4,Los Angeles,US,34.0522,-118.2437
2025-11-08 21:00:00+00:00,19.4,18.5,274.0,16.4,63.0,74.08688,472.0,44.8,Los Angeles,US,34.0522,-118.2437
2025-11-08 22:00:00+00:00,19.9,19.0,307.0,16.2,65.0,74.32624,476.0,46.5,Los Angeles,US,34.0522,-118.2437
2025-11-08 23:00:00+00:00,20.3,19.4,380.0,15.5,63.0,74.73405,486.0,49.3,Los Angeles,US,34.0522,-118.2437
2025-11-09 00:00:00+00:00,25.8,25.0,461.0,14.1,55.0,75.29256,497.0,46.4,Los Angeles,US,34.0522,-118.2437
2025-11-09 01:00:00+00:00,29.1,28.5,558.0,13.6,39.0,76.07269,508.0,58.5,Los Angeles,US,34.0522,-118.2437
2025-11-09 02:00:00+00:00,33.4,32.8,664.0,13.0,16.0,76.98582,519.0,75.1,Los Angeles,US,34.0522,-118.2437
2025-11-09 03:00:00+00:00,36.0,35.5,725.0,12.5,0.0,78.09398,526.0,86.4,Los Angeles,US,34.0522,-118.2437
2025-11-09 04:00:00+00:00,40.4,40.0,710.0,12.3,0.0,79.24645,527.0,87.3,Los Angeles,US,34.0522,-118.2437
2025-11-09 05:00:00+00:00,43.8,43.5,651.0,12.1,0.0,80.319145,523.0,82.8,Los Angeles,US,34.0522,-118.2437
2025-11-09 06:00:00+00:00,47.5,47.0,586.0,12.1,0.0,80.895386,519.0,78.6,Los Angeles,US,34.0522,-118.2437
2025-11-09 07:00:00+00:00,50.8,50.2,524.0,12.2,0.0,81.39184,515.0,76.7,Los Angeles,US,34.0522,-118.2437
2025-11-09 08:00:00+00:00,53.0,52.3,456.0,12.4,0.0,82.2695,509.0,75.1,Los Angeles,US,34.0522,-118.2437
2025-11-09 09:00:00+00:00,53.4,52.7,394.0,12.4,0.0,83.62588,505.0,73.0,Los Angeles,US,34.0522,-118.2437
2025-11-09 10:00:00+00:00,49.8,49.1,329.0,11.9,0.0,85.53191,502.0,70.1,Los Angeles,US,34.0522,-118.2437
2025-11-09 11:00:00+00:00,42.1,41.6,269.0,11.3,1.0,87.55319,499.0,66.6,Los Angeles,US,34.0522,-118.2437
2025-11-09 12:00:00+00:00,26.9,26.7,249.0,10.2,2.0,89.23758,499.0,61.9,Los Angeles,US,34.0522,-118.2437
2025-11-09 13:00:00+00:00,22.2,22.0,302.0,10.0,1.0,89.90248,504.0,57.6,Los Angeles,US,34.0522,-118.2437
2025-11-09 14:00:00+00:00,20.7,20.5,395.0,9.8,0.0,90.32801,511.0,51.8,Los Angeles,US,34.0522,-118.2437
2025-11-09 15:00:00+00:00,22.6,22.5,465.0,9.9,2.0,90.6117,515.0,47.8,Los Angeles,US,34.0522,-118.2437
2025-11-09 16:00:00+00:00,25.1,24.9,491.0,10.7,7.0,90.84219,515.0,47.1,Los Angeles,US,34.0522,-118.2437
2025-11-09 17:00:00+00:00,27.6,27.3,495.0,11.9,15.0,91.08156,513.0,48.3,Los Angeles,US,34.0522,-118.2437
2025-11-09 18:00:00+00:00,25.5,24.7,474.0,12.9,24.0,91.41844,508.0,49.9,Los Angeles,US,34.0522,-118.2437
2025-11-09 19:00:00+00:00,23.3,22.6,402.0,13.6,35.0,91.799644,496.0,52.1,Los Angeles,US,34.0522,-118.2437
2025-11-09 20:00:00+00:00,22.4,21.8,306.0,14.1,46.0,92.21632,480.0,54.9,Los Angeles,US,34.0522,-118.2437
2025-11-09 21:00:00+00:00,21.8,21.3,264.0,14.1,54.0,92.56206,473.0,56.7,Los Angeles,US,34.0522,-118.2437
2025-11-09 22:00:00+00:00,21.4,20.8,328.0,13.5,57.0,92.81029,481.0,56.4,Los Angeles,US,34.0522,-118.2437
2025-11-09 23:00:00+00:00,21.2,20.6,447.0,12.4,57.0,92.96986,496.0,55.2,Los Angeles,US,34.0522,-118.2437
2025-11-10 00:00:00+00:00,26.3,25.6,546.0,11.6,42.0,93.07623,509.0,58.7,Los Angeles,US,34.0522,-118.2437
